title,tmdb_id,imdb_id,release_date,release_month,release_day_of_week,production_budget_raw,production_budget_adj,runtime,primary_genre,mpaa_rating,format_premium,spoiler_risk,dir_last3,dir_max,dir_lifetime,prod_last3,prod_max,prod_lifetime,cast_last3,cast_max,cast_lifetime,director_id,director_name,producer_id,producer_name,cast_ids,cast_names,is_sequel,sequel_parent_rating,franchise_hunger,distributor_raw,opening_theaters,calendar_ratio,target_dom_lifetime,bom_dom_lifetime,rev_day_1,theaters_day_1,rank_day_1,rev_day_2,theaters_day_2,rank_day_2,rev_day_3,theaters_day_3,rank_day_3,rev_day_4,theaters_day_4,rank_day_4,rev_day_5,theaters_day_5,rank_day_5,rev_day_6,theaters_day_6,rank_day_6,rev_day_7,theaters_day_7,rank_day_7,rev_day_8,theaters_day_8,rank_day_8,rev_day_9,theaters_day_9,rank_day_9,rev_day_10,theaters_day_10,rank_day_10,rev_day_11,theaters_day_11,rank_day_11,rev_day_12,theaters_day_12,rank_day_12,rev_day_13,theaters_day_13,rank_day_13,rev_day_14,theaters_day_14,rank_day_14,rev_day_15,theaters_day_15,rank_day_15,rev_day_16,theaters_day_16,rank_day_16,rev_day_17,theaters_day_17,rank_day_17,rev_day_18,theaters_day_18,rank_day_18,rev_day_19,theaters_day_19,rank_day_19,rev_day_20,theaters_day_20,rank_day_20,rev_day_21,theaters_day_21,rank_day_21,rev_day_22,theaters_day_22,rank_day_22,rev_day_23,theaters_day_23,rank_day_23,rev_day_24,theaters_day_24,rank_day_24,rev_day_25,theaters_day_25,rank_day_25,rev_day_26,theaters_day_26,rank_day_26,rev_day_27,theaters_day_27,rank_day_27,rev_day_28,theaters_day_28,rank_day_28
The Addams Family,481084,tt1620981,2019-10-10,10,3,40000000,49204536.56628863,87,Family,PG-13,1.0,0.0,423045488.6666667,935454538,551147751.0,0.0,0,0.0,73748808.11111112,1165518120.6666667,254643767.5079365,12080.0,Conrad Vernon,1033779.0,Gail Berman,25072|6885|56734,Oscar Isaac|Charlize Theron|Chloë Grace Moretz,1,0.0,0.0,Cinesite Animation,4007,0.45509785710982725,97185807,97185807,9716240,4007,2,11761776,4007,2,8821991,4007,2,4782862,4007,2,2701781,4007,2,1500131,4007,2,1474246,4007,2,4061164,4102,4,7188795,4102,4,5071021,4102,4,959133,4102,4,1458493,4102,4,771074,4102,4,826991,4102,4,2830396,4102,6,5224987,4102,3,3950624,4102,3,713776,4102,5,1098437,4102,5,738927,4107,4,1143155,4107,4,1992645,3607,6,3822800,3607,5,2480562,3607,5,435086,3607,7,1048867,3607,5,341187,3607,9,350558,3607,6
Marriage Story,492188,tt7653254,2019-09-28,9,5,18000000,22142041.454829883,137,Drama,PG-13,1.0,0.0,7952522.0,17287309,7366982.833333333,7952522.0,17287309,7366982.833333333,839840379.0,2066787184.6666667,501945254.5641026,5656.0,Noah Baumbach,5656.0,Noah Baumbach,1023139|1245|4784,Adam Driver|Scarlett Johansson|Laura Dern,0,0.0,0.0,Heyday Films,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glass,450465,tt6823368,2019-01-16,1,2,20000000,24602268.283144314,129,Thriller,PG-13,1.0,2.0,206915849.0,672800000,276246851.7,123261961.0,278454358,113497525.3076923,505052234.77777785,1038922009.6666666,254297357.2868687,11614.0,M. Night Shyamalan,84348.0,Jason Blum,5530|62|2231,James McAvoy|Bruce Willis|Samuel L. Jackson,0,0.0,0.0,Blinding Edge Pictures,3841,1.3046401478526557,111035005,111035005,15886745,3841,1,14524105,3841,1,9918070,3841,1,6176030,3841,1,3814910,3841,1,2144560,3841,1,2076715,3841,1,4963595,3844,1,8652565,3844,1,5268280,3844,1,1310025,3844,1,1941805,3844,1,1205830,3844,1,1236865,3844,1,2756700,3665,1,5083445,3665,1,1708650,3665,1,828240,3665,1,1192775,3665,1,737590,3665,1,627080,3665,2,1568150,3254,6,2956915,3254,5,1754590,3254,5,428225,3254,5,564770,3254,5,366370,2900,7,940315,2575,8
Abominable,431580,tt6324278,2019-09-19,9,3,75000000,92258506.06179117,97,Family,PG-13,1.0,0.0,197300000.0,197300000,197300000.0,368871007.0,368871007,368871007.0,43421405.44444444,103983461.33333333,23562952.222222224,7881.0,Jill Culton,1295761.0,Suzanne Buirgy,1181303|1181320|1926,Chloe Bennet|Albert Tsai|Eddie Izzard,0,0.0,0.0,DreamWorks Animation,4242,0.4195126305413486,60716390,60716390,5654440,4242,1,8995905,4242,1,5961755,4242,1,1608930,4242,2,1978675,4242,2,880220,4242,3,753190,4242,3,2767370,4248,2,5515305,4248,2,3639180,4248,2,746740,4248,3,1321100,4248,2,1339705,4248,2,638835,4248,3,1705080,3496,4,2608645,3496,4,1758510,3496,4,1245090,3496,4,555260,3496,7,361595,3496,7,379540,3496,6,883325,2647,6,1606105,2647,6,1020930,2647,6,235235,2647,8,306075,2647,9,169780,2647,9,182075,2647,10
Iron Sky: The Coming Race,302349,tt3038708,2019-01-25,1,4,17500000,21526984.747751273,93,Action,PG-13,1.0,0.0,10109659.0,10109659,10109659.0,8416695.5,10109659,8416695.5,28831015.333333332,28831015.333333332,28831015.333333332,66212.0,Timo Vuorensola,52731.0,Oliver Damian,1404497|239793|2347505,Lara Rossi|Vladimir Burlakov|Kit Dale,1,5.9,6.8,Potemkino,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ma,502416,tt7958736,2019-05-29,5,2,5000000,6150567.070786078,99,Horror,PG-13,1.0,0.0,141082990.33333334,216600000,141082990.33333334,189222113.33333334,259939869,115376985.07692307,102904024.33333333,494773576.0,138286717.04040405,55789.0,Tate Taylor,84348.0,Jason Blum,6944|3196|2048372,Octavia Spencer|Juliette Lewis|Diana Silvers,1,0.0,0.0,Blumhouse Productions,2808,1.4600603745905831,45373120,45373120,7242140,2808,4,6544275,2808,4,4313390,2808,4,1672860,2808,4,2480060,2808,4,1359210,2808,4,1336140,2808,4,2295635,2816,6,3195640,2816,6,2336415,2816,7,933095,2816,6,1415395,2816,6,925285,2816,7,690455,2816,7,1118755,1794,10,1471200,1794,10,1129020,1794,11,547840,1794,9,749970,1794,10,511030,1794,10,281955,1794,11,360925,862,14,482275,862,14,306275,862,15,160420,862,14,153160,862,16,100730,770,16,84150,770,16
The Curse of La Llorona,480414,tt4913966,2019-04-17,4,2,9000000,11071020.727414941,93,Horror,PG-13,1.0,0.0,0.0,0,0.0,996749436.0,1515400000,412996946.2222222,186290975.11111113,727915739.6666666,192771767.04365078,1607672.0,Michael Chaves,2127.0,James Wan,1817|58650|18920,Linda Cardellini|Raymond Cruz|Patricia Velásquez,1,0.0,0.0,Atomic Monster,3372,1.6357754280125654,54733739,54733739,11919261,3372,1,8790664,3372,1,5637706,3372,1,2258033,3372,1,2724802,3372,1,1452658,3372,1,1001177,3372,2,2457127,3372,3,3214850,3372,3,2373767,3372,2,662534,3372,3,964515,3372,3,627030,3372,2,515879,3372,3,1126595,2540,7,1519598,2540,7,1056414,2540,6,322194,2540,5,458535,2540,6,301169,2540,6,215523,2540,8,514810,1182,10,775757,1182,10,561155,1182,10,171384,1182,11,225426,1182,10,152877,1182,10,113922,1182,12
Mr. Jones,509598,tt6828390,2019-10-03,10,3,0,0.0,119,Thriller,PG-13,1.0,0.0,4540077.333333333,40000000,11839107.2,0.0,0,0.0,202778709.88888887,381282658.0,144256672.06060606,1128.0,Agnieszka Holland,2490222.0,Andrea Chalupa,1205278|556356|133,James Norton|Vanessa Kirby|Peter Sarsgaard,0,0.0,0.0,Film Produkcja,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Courier,611914,tt8075016,2019-11-22,11,4,0,0.0,99,Action,PG-13,1.0,0.0,0.0,0,0.0,0.0,0,0.0,70617372.22222222,372422097.6666667,92594946.04166667,439236.0,Zackary Adler,2389445.0,David Haring,18182|64|20212,Olga Kurylenko|Gary Oldman|Dermot Mulroney,0,0.0,0.0,Rollercoaster Angel Productions,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jojo Rabbit,515001,tt2584384,2019-10-18,10,4,14000000,17221587.79820102,108,Comedy,PG-13,1.0,0.0,295167268.6666667,855301806,179183754.8,295167268.6666667,855301806,179183754.8,983481105.4444443,1251819629.3333333,623079266.8888888,55934.0,Taika Waititi,55934.0,Taika Waititi,2054851|1356758|1245,Roman Griffin Davis|Thomasin McKenzie|Scarlett Johansson,0,0.0,0.0,Fox Searchlight Pictures,5,0.23573328946803795,33370906,33370906,142110,5,15,111548,5,17,95897,5,16,29885,5,17,29510,5,18,30145,5,18,20329,5,21,340031,55,15,386762,55,15,317277,55,16,94026,55,17,104980,55,17,112190,55,14,70546,55,18,702652,256,11,948912,256,12,680801,256,12,216113,256,13,305224,256,13,230527,256,12,206417,256,12,1143978,798,10,1607203,798,11,1200976,798,11,629198,798,11,427081,798,11,301531,798,10,293649,798,10
