title,tmdb_id,imdb_id,release_date,release_month,release_day_of_week,production_budget_raw,production_budget_adj,runtime,primary_genre,mpaa_rating,format_premium,spoiler_risk,dir_last3,dir_max,dir_lifetime,prod_last3,prod_max,prod_lifetime,cast_last3,cast_max,cast_lifetime,director_id,director_name,producer_id,producer_name,cast_ids,cast_names,is_sequel,sequel_parent_rating,franchise_hunger,distributor_raw,opening_theaters,calendar_ratio,target_dom_lifetime,bom_dom_lifetime,rev_day_1,theaters_day_1,rank_day_1,rev_day_2,theaters_day_2,rank_day_2,rev_day_3,theaters_day_3,rank_day_3,rev_day_4,theaters_day_4,rank_day_4,rev_day_5,theaters_day_5,rank_day_5,rev_day_6,theaters_day_6,rank_day_6,rev_day_7,theaters_day_7,rank_day_7,rev_day_8,theaters_day_8,rank_day_8,rev_day_9,theaters_day_9,rank_day_9,rev_day_10,theaters_day_10,rank_day_10,rev_day_11,theaters_day_11,rank_day_11,rev_day_12,theaters_day_12,rank_day_12,rev_day_13,theaters_day_13,rank_day_13,rev_day_14,theaters_day_14,rank_day_14,rev_day_15,theaters_day_15,rank_day_15,rev_day_16,theaters_day_16,rank_day_16,rev_day_17,theaters_day_17,rank_day_17,rev_day_18,theaters_day_18,rank_day_18,rev_day_19,theaters_day_19,rank_day_19,rev_day_20,theaters_day_20,rank_day_20,rev_day_21,theaters_day_21,rank_day_21,rev_day_22,theaters_day_22,rank_day_22,rev_day_23,theaters_day_23,rank_day_23,rev_day_24,theaters_day_24,rank_day_24,rev_day_25,theaters_day_25,rank_day_25,rev_day_26,theaters_day_26,rank_day_26,rev_day_27,theaters_day_27,rank_day_27,rev_day_28,theaters_day_28,rank_day_28
How the Grinch Stole Christmas,8871,tt0170016,2000-11-17,11,4,123000000,224671428.5714286,104,Family,PG-13,1.0,0.0,233324503.66666666,355237933,119577588.25,233324503.66666666,355237933,119577588.25,31472202.11111111,240494469.0,95638963.22727273,6159.0,Ron Howard,6159.0,Ron Howard,206|20480|4175,Jim Carrey|Taylor Momsen|Jeffrey Tambor,0,0.0,0.0,Universal Pictures,3134,0.40705011480088077,260530905,260530905,15635225,3127,1,22717655,3127,1,16729450,3127,1,3611685,3127,1,4878120,3127,1,9370660,3134,1,12034560,3134,1,19744225,3134,1,19822550,3134,1,12551670,3134,1,2178130,3134,1,2037100,3134,1,1770710,3134,1,1817720,3134,1,6621180,3138,1,12159750,3138,1,8315700,3138,1,1192440,3138,1,1365030,3138,1,1190895,3138,1,1255200,3138,1,4359340,3182,2,8702770,3182,1,5584410,3182,1,859140,3182,2,1193250,3182,2,985555,3182,1,1144815,3182,1
Scary Movie,4247,tt0175142,2000-07-07,7,4,19000000,34705342.624854825,88,Comedy,PG-13,1.0,0.0,21196209.0,29392418,21196209.0,15795420.333333334,30112050,19374577.75,14025802.88888889,26836775.666666668,14571375.75,35689.0,Keenen Ivory Wayans,35696.0,Eric L. Gold,1772|17866|9562,Anna Faris|Jon Abrahams|Marlon Wayans,1,0.0,0.0,Brad Grey Pictures,2912,0.3786150435686117,146886910,146886910,15037000,2912,1,15220000,2912,1,12090000,2912,1,6102126,2912,1,5818482,2912,1,4850235,2912,1,4606772,2912,1,8270000,3152,2,10171000,3152,2,7755000,3152,2,3290245,3152,2,3396645,3152,2,2818269,3152,2,2671321,3152,2,4820000,3301,4,5958000,3301,4,4346000,3301,3,1979071,3301,4,2007109,3301,3,1680637,3301,4,1571119,3301,3,2513000,3256,4,3180000,3256,4,2616000,3256,4,1110408,3256,4,1243306,3256,4,968784,3256,4,967357,3256,4
Gladiator,98,tt0172495,2000-05-04,5,3,103000000,188139488.96631825,155,Action,PG-13,1.0,0.0,21886851.666666668,134212055,46407610.666666664,215914353.5,321365567,215914353.5,49242560.666666664,135171590.0,44008809.541666664,578.0,Ridley Scott,930.0,Branko Lustig,934|73421|935,Russell Crowe|Joaquin Phoenix|Connie Nielsen,1,0.0,0.0,Universal Pictures,2938,0.589977894635128,187705427,187705427,11135359,2938,1,13615219,2938,1,10068439,2938,1,3751311,2938,1,3867743,2938,1,3405736,2938,1,3172529,2938,1,7171904,2943,1,10503641,2943,1,6969584,2943,1,2500226,2943,1,2696453,2943,1,2276159,2943,1,2256489,2943,1,5550614,3041,1,8322597,3041,1,5876062,3041,1,2225397,3041,1,1902458,3041,1,1326097,3041,2,1337869,3041,2,3092650,3188,3,5245182,3188,3,5092546,3188,3,3634125,3188,3,1280718,3188,3,1160515,3188,2,1143947,3188,3
The Emperor's New Groove,11688,tt0120917,2000-12-15,12,4,100000000,182659698.0255517,78,Adventure,PG-13,1.0,0.0,3600000.0,3600000,3600000.0,0.0,0,0.0,55615745.888888896,115148042.33333333,40718409.324074075,61411.0,Mark Dindal,61417.0,Randy Fullmer,60950|1230|70243,David Spade|John Goodman|Eartha Kitt,1,0.0,0.0,Walt Disney Feature Animation,2887,0.3976950518378066,9658847,9658847,1625000,2887,6,1872563,2887,6,2814336,2887,5,3346948,2887,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memento,77,tt0209144,2000-10-11,10,2,9000000,16439372.822299654,113,Mystery,PG-13,1.0,1.0,0.0,0,0.0,114983137.66666667,312016928,103165290.25,230106955.7777778,351083902.0,209245028.79761907,525.0,Christopher Nolan,550.0,Jennifer Todd,529|530|532,Guy Pearce|Carrie-Anne Moss|Joe Pantoliano,0,0.0,0.0,Newmarket Films,175,0.9552506100693553,5452000,5452000,86019,123,17,97784,123,17,104051,123,19,107921,123,19,99468,175,16,107830,175,16,105038,175,16,99323,175,16,103753,272,11,114414,272,14,110552,272,12,97014,272,13,111076,326,13,121640,326,12,112262,326,12,104300,326,12,120041,411,9,136184,411,10,119802,411,9,125073,411,8,142223,446,7,155139,446,8,137230,446,8,145061,445,8,167294,484,9,160851,484,9,153879,484,9,140793,484,9
The Patriot,2024,tt0187393,2000-06-28,6,2,110000000,200925667.82810688,165,Drama,PG-13,1.0,0.0,464327482.3333333,817400891,371995586.25,464327482.3333333,817400891,464327482.3333333,126531046.3888889,240082411.0,101354612.45555556,6046.0,Roland Emmerich,8676.0,Dean Devlin,2461|1810|20810,Mel Gibson|Heath Ledger|Joely Richardson,0,0.0,0.0,Columbia Pictures,3061,0.740719344042838,108589804,108589804,5015267,3061,1,4307385,3061,1,6860000,3061,2,8560000,3061,2,6990000,3061,2,6902166,3061,2,5907876,3061,2,2813617,3061,2,2677185,3061,2,4363000,3061,3,6321000,3061,3,4736000,3061,3,1836833,3061,3,1807455,3061,3,1511341,3061,4,1538372,3061,4,2973000,3061,5,4506000,3061,4,3134000,3061,4,1088436,3061,5,1232385,3061,5,1067634,3061,5,1008587,3061,5,1796000,2751,8,2677000,2751,7,1767000,2751,7,812104,2751,8,890625,2751,8
Snatch,107,tt0208092,2000-09-01,9,4,100000000,182659698.0255517,103,Crime,PG-13,1.0,0.0,28356188.0,28356188,28356188.0,28356188.0,28356188,28356188.0,17210140.0,20109812.333333332,15437287.333333334,956.0,Guy Ritchie,957.0,Matthew Vaughn,976|1116|1115,Jason Statham|Alan Ford|Stephen Graham,0,0.0,0.0,SKA Films,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Family Man,5994,tt0218967,2000-12-12,12,1,60000000,109595818.81533103,125,Comedy,PG-13,1.0,0.0,146564337.5,244721064,146564337.5,21128152.0,89325780,24210399.85714286,119346919.22222221,269116917.6666667,88301959.98181818,11091.0,Brett Ratner,47054.0,Howard Rosenman,2963|4939|1896,Nicolas Cage|Téa Leoni|Don Cheadle,0,0.0,0.0,Beacon Pictures,2388,0.8569009372555003,75440065,75440065,3999900,2388,4,4608840,2388,4,1946220,2388,4,4549095,2388,3,4321325,2388,4,3450660,2388,4,3522300,2388,4,4644360,2394,4,4764060,2394,4,3010330,2394,4,3974040,2394,4,1687770,2394,3,1137150,2394,3,1161090,2394,3,2711250,2410,4,4181355,2410,4,2229250,2410,4,566350,2410,4,650695,2410,4,566350,2410,4,578425,2410,4,1574445,2441,7,2526435,2441,7,1611060,2441,7,890965,2441,7,366150,2441,6,305125,2441,6,329535,2441,6
Almost Famous,786,tt0181875,2000-09-15,9,4,60000000,109595818.81533103,124,Drama,PG-13,1.0,0.0,104036529.0,273600000,104036529.0,198543029.66666666,494471524,229501166.6,13021369.666666666,209070344.33333334,56510523.79545454,11649.0,Cameron Crowe,9987.0,Ian Bryce,8289|3910|11661,Billy Crudup|Frances McDormand|Kate Hudson,0,0.0,0.0,DreamWorks Pictures,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What Women Want,3981,tt0207201,2000-12-15,12,4,70000000,127861788.6178862,127,Comedy,PG-13,1.0,0.0,92108518.0,92108518,92108518.0,92108518.0,92108518,92108518.0,111897521.44444443,301546616.3333333,107766101.06547618,17698.0,Nancy Meyers,17698.0,Nancy Meyers,2461|9994|3141,Mel Gibson|Helen Hunt|Marisa Tomei,0,0.0,0.0,Paramount Pictures,3012,0.33354609549308345,162969240,162969240,11329000,3012,1,13505000,3012,1,8781000,3012,1,3296021,3012,1,3816544,3012,1,3691402,3012,1,4145569,3012,1,6120000,3044,2,6897000,3044,2,2710000,3044,3,5743044,3044,2,6902652,3044,2,6102753,3044,2,6148406,3044,2,7625000,3046,2,8254000,3046,2,4955561,3046,2,5574322,3046,2,2703395,3046,1,1935017,3046,1,1942058,3046,1,4679000,3052,1,7222000,3052,1,3654000,3052,2,953455,3052,2,1117342,3052,2,948629,3052,2,1002601,3052,2
Finding Forrester,711,tt0181536,2000-12-21,12,3,43000000,78543670.15098724,136,Drama,PG-13,1.0,0.0,94766666.66666667,225900000,59080000.0,124628811.0,212404400,124628811.0,59361620.11111111,108330686.0,51236334.71428571,5216.0,Gus Van Sant,738.0,Sean Connery,738|10689|1164,Sean Connery|Rob Brown|F. Murray Abraham,0,0.0,0.0,Laurence Mark Productions,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boiler Room,14181,tt0181984,2000-02-18,2,4,7000000,12786178.86178862,118,Crime,PG-13,1.0,0.0,0.0,0,0.0,121446104.66666667,312016928,71952902.75,128480549.66666667,356208171.0,111317615.51388888,24294.0,Ben Younger,551.0,Suzanne Todd,1771|12835|9781,Giovanni Ribisi|Vin Diesel|Nia Long,0,0.0,0.0,New Line Cinema,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Momma's House,9600,tt0208003,2000-05-31,5,2,30000000,54797909.40766551,98,Crime,PG-13,1.0,0.0,81823872.5,84565230,81823872.5,154861872.33333334,294500000,141371404.25,43968838.11111111,242730209.33333334,78508230.12962963,1215.0,Raja Gosnell,17144.0,David T. Friendly,78029|9781|13242,Martin Lawrence|Nia Long|Paul Giamatti,1,0.0,0.0,Regency Enterprises,2802,1.347353244833423,117430676,117430676,7664995,2802,2,10725754,2802,2,7270292,2802,1,2759100,2802,1,2558342,2802,2,1976194,2802,2,2246556,2802,2,4726593,2854,3,7509195,2854,3,4987390,2854,2,1883726,2854,2,1797070,2854,3,1635876,2854,3,1803373,2854,2,3242826,2843,2,4609971,2843,3,3833761,2843,2,1287513,2843,2,1392901,2843,2,1364223,2843,2,1401553,2843,2,2467758,2846,3,3581187,2846,3,2499354,2846,3,1047217,2846,3,1081193,2846,3,924040,2846,4,977154,2846,4
Romeo Must Die,2085,tt0165929,2000-03-22,3,2,25000000,45664924.50638793,115,Action,PG-13,1.0,0.0,0.0,0,0.0,263269356.0,463517383,121265193.41176471,47056184.11111111,121063523.0,25684030.7962963,10765.0,Andrzej Bartkowiak,1091.0,Joel Silver,1336|21352|21353,Jet Li|Aaliyah|Isaiah Washington,0,0.0,0.0,Silver Pictures,2641,0.3893226477935054,50675914,50675914,4105324,2602,1,2463276,2602,1,5757000,2641,2,7484000,2641,2,4774000,2641,1,1409492,2641,2,1373438,2641,2,1047359,2641,2,1052748,2641,2,2817000,2641,4,4122000,2641,4,2439000,2641,4,644294,2641,4,732356,2641,4,543337,2641,4,526789,2641,4,1331000,2289,8,2034000,2289,7,1280000,2289,7,306978,2289,7,339104,2289,8,284635,2289,7,286922,2289,7,773000,1824,8,255533,1824,10,278272,1824,9,248864,1824,9,317507,1824,10
Little Nicky,9678,tt0185431,2000-11-10,11,4,85000000,155260743.32171896,90,Comedy,PG-13,1.0,0.0,17700000.0,17700000,17700000.0,181366842.66666666,234801895,181366842.66666666,80586093.66666667,137514542.33333334,44924015.0787037,32593.0,Steven Brill,20821.0,Jack Giarraputo,19292|4687|1037,Adam Sandler|Patricia Arquette|Harvey Keitel,0,0.0,0.0,New Line Cinema,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Under Suspicion,10562,tt0164212,2000-08-24,8,3,25000000,45664924.50638793,110,Thriller,PG-13,1.0,0.0,68311610.0,136159423,49393407.5,0.0,0,0.0,133031434.8888889,302147425.0,105517886.62698412,2042.0,Stephen Hopkins,66035.0,Maurice Leblond,193|192|11155,Gene Hackman|Morgan Freeman|Thomas Jane,0,0.0,0.0,TF1 International,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Psycho,1359,tt0144084,2000-04-13,4,3,7000000,12786178.86178862,102,Thriller,PG-13,1.0,0.0,1814290.0,1814290,1814290.0,0.0,0,0.0,13004059.833333334,137338375.33333334,27257153.97777778,16378.0,Mary Harron,32034.0,Christian Halsey Solomon,3894|15009|6164,Christian Bale|Justin Theroux|Josh Lucas,1,0.0,0.0,Lionsgate,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Beach,1907,tt0163978,2000-02-03,2,3,40000000,73063879.21022068,119,Drama,PG-13,1.0,0.0,35464902.333333336,71981823,35464902.333333336,35464902.333333336,71981823,35464902.333333336,274022882.0,758348424.3333334,90806956.06666666,2034.0,Danny Boyle,2035.0,Andrew Macdonald,6193|19163|19866,Leonardo DiCaprio|Virginie Ledoyen|Guillaume Canet,0,0.0,0.0,Figment Films,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Kid,4244,tt0219854,2000-07-07,7,4,65000000,118728803.71660861,104,Fantasy,PG-13,1.0,0.0,122735069.0,182100000,110412354.2,102450302.0,152266007,50786430.777777776,160660697.55555555,345563226.0,112381225.71249999,12962.0,Jon Turteltaub,18350.0,Hunt Lowry,62|35654|1246,Bruce Willis|Spencer Breslin|Emily Mortimer,0,0.0,0.0,Walt Disney Pictures,2167,0.4046581021437579,63550582,63550582,3919000,2167,4,4891000,2167,4,3878000,2167,4,1801699,2167,4,1749814,2167,4,1629661,2167,3,1664562,2167,3,3079000,2320,4,4362000,2320,5,3030000,2320,5,1310707,2320,4,1459666,2320,4,1549596,2320,4,1319435,2320,4,2116000,2343,7,2733000,2343,6,1840000,2343,6,1019191,2343,6,1112711,2343,6,1206901,2343,7,1274226,2343,6,1622000,2328,7,1996000,2328,7,1593000,2328,7,834040,2328,6,921371,2328,6,754761,2328,6,763486,2328,6
Gone in Sixty Seconds,9679,tt0187078,2000-06-09,6,4,90000000,164393728.22299653,118,Action,PG-13,1.0,0.0,2395231.0,2395231,2395231.0,342820545.3333333,553799566,193040264.94117647,52974095.44444445,322799061.6666667,68734099.81944445,58498.0,Dominic Sena,770.0,Jerry Bruckheimer,2963|11701|1771,Nicolas Cage|Angelina Jolie|Giovanni Ribisi,0,0.0,0.0,Touchstone Pictures,3006,0.3507258116972307,100273140,100273140,8401847,3006,1,9475756,3006,1,7458445,3006,1,3285691,3006,1,3293975,3006,1,2629231,3006,1,2639111,3006,1,4340956,3049,1,5659718,3049,1,4895357,3049,1,1711375,3049,1,2018131,3049,1,1854377,3049,1,1748471,3049,1,2822829,3089,2,3780943,3089,2,2848423,3089,2,1271813,3089,2,1376499,3089,2,1050726,3089,3,1030350,3089,3,1541766,2651,6,1874527,2651,6,1903978,2651,6,1486012,2651,7,1044798,2651,7,746980,2651,6,745331,2651,6
Cast Away,8358,tt0162222,2000-12-22,12,4,90000000,164393728.22299653,143,Adventure,PG-13,1.0,0.0,379976132.0,677387716,267465330.0,0.0,0,0.0,54919872.72222222,173728000.0,58689558.291666664,24.0,Robert Zemeckis,31.0,Tom Hanks,31|9994|38026,Tom Hanks|Helen Hunt|Chris Noth,0,0.0,0.0,20th Century Fox,2774,1.0287849680349934,110526165,110526165,11755000,2774,1,12145000,2774,1,5820000,2774,1,10968669,2774,1,11669789,2774,1,9293175,2774,1,8835686,2774,1,11120000,2774,1,11326000,2774,1,8532000,2929,1,9060846,2929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Whole Nine Yards,2069,tt0190138,2000-02-18,2,4,41300000,75438455.28455286,98,Comedy,PG-13,1.0,0.0,32589757.333333332,64088552,35300364.2,0.0,0,0.0,121429822.88888888,276066666.6666667,85355739.64583333,21217.0,Jonathan Lynn,21219.0,Allan Kaufman,14408|62|57395,Matthew Perry|Bruce Willis|Natasha Henstridge,1,0.0,0.0,Rational Packaging,2910,0.28129757483067513,30539744,30539744,3414000,2910,2,6057000,2910,1,4260000,2910,1,2184606,2910,3,1083493,2910,1,924162,2910,1,957735,2910,1,2743000,2910,1,4513000,2910,1,2359000,2910,2,632429,2910,1,743215,2910,1,668104,2910,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dracula 2000,10577,tt0219653,2000-12-22,12,4,28000000,51144715.44715448,98,Thriller,PG-13,1.0,1.0,0.0,0,0.0,0.0,0,0.0,150422032.55555555,191278116.66666666,148851686.83333334,27226.0,Patrick Lussier,54601.0,W.K. Border,17276|290|9012,Gerard Butler|Christopher Plummer|Jonny Lee Miller,1,0.0,0.0,Wes Craven Films,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Road Trip,9285,tt0215129,2000-05-19,5,4,16000000,29225551.684088275,93,Comedy,PG-13,1.0,0.0,0.0,0,0.0,167748500.0,250200000,167748500.0,91201506.66666667,138999127.0,91548923.75,57130.0,Todd Phillips,57132.0,Daniel Goldberg,33654|57599|20189,Breckin Meyer|Seann William Scott|Amy Smart,1,0.0,0.0,DreamWorks Pictures,2530,0.3035850901356006,68540777,68540777,5410371,2530,2,5672146,2530,2,4401487,2530,2,1982215,2530,2,1850159,2530,2,1199483,2530,3,1235760,2530,3,3070891,2631,4,3889787,2631,4,3947940,2631,4,2610288,2631,4,1289407,2631,2,1136231,2631,4,1118693,2631,4,2095323,2654,5,2656583,2654,5,1981258,2654,5,1000855,2654,4,1082525,2654,4,790157,2654,4,824490,2654,4,1455189,2586,6,1901502,2586,6,1551705,2586,6,792610,2586,5,802158,2586,5,673430,2586,5,663281,2586,5
Billy Elliot,71,tt0249462,2000-09-28,9,3,5000000,9132984.901277585,110,Drama,PG-13,1.0,0.0,0.0,0,0.0,0.0,0,0.0,7996602.333333333,9400000.0,7996602.333333333,468.0,Stephen Daldry,462.0,Greg Brenman,478|480|477,Jamie Bell|Gary Lewis|Julie Walters,0,0.0,0.0,StudioCanal,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinosaur,10567,tt0130623,2000-05-19,5,4,127500000,232891114.98257843,82,Animation,PG-13,1.0,0.0,9317021.0,9317021,9317021.0,0.0,0,0.0,66865067.333333336,176122643.33333334,63358016.88333333,65855.0,Ralph Zondag,65857.0,Pam Marsden,61962|1981|15531,D. B. Sweeney|Alfre Woodard|Ossie Davis,0,0.0,0.0,Walt Disney Feature Animation,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miss Congeniality,1493,tt0212346,2000-12-22,12,4,45000000,82196864.11149827,111,Comedy,PG-13,1.0,0.0,29245952.333333332,70200000,26460611.42857143,1600000.0,1600000,1600000.0,101027009.33333333,156095905.66666666,113660364.94444443,18281.0,Donald Petrie,18277.0,Sandra Bullock,18277|4589|26716,Sandra Bullock|Benjamin Bratt|Heather Burns,1,0.0,0.0,Village Roadshow Pictures,2668,1.250547175305766,96961123,96961123,4162000,2668,3,4325000,2668,5,1815000,2668,5,3807152,2668,4,4723826,2668,3,4292591,2668,3,4353947,2668,3,5296000,2668,3,5618000,2668,3,3665000,2668,3,4608098,2668,3,2454531,2668,2,1731200,2668,2,1786848,2668,2,3952000,2668,3,5866000,2668,3,3203000,2668,3,806545,2668,3,953257,2668,3,812365,2668,3,872037,2668,3,2650000,2668,5,3825000,2668,5,2512000,2668,6,1601472,2668,4,593568,2668,5,501626,2668,5,541790,2668,5
Get Carter,10461,tt0208988,2000-10-06,10,4,63600000,116171567.94425088,102,Action,PG-13,1.0,0.0,0.0,0,0.0,34562925.0,34562925,34562925.0,154322945.1111111,305797364.0,100244977.37777777,56435.0,Stephen Kay,46088.0,Mark Canton,16483|8436|38581,Sylvester Stallone|Miranda Richardson|Rachael Leigh Cook,0,0.0,0.0,The Canton Company,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Virgin Suicides,1443,tt0159097,2000-04-21,4,4,6000000,10959581.881533103,97,Drama,PG-13,1.0,0.0,0.0,0,0.0,40689710.0,100230832,40689710.0,53035237.77777777,196858593.0,76668537.95286195,1769.0,Sofia Coppola,5379.0,Dan Halsted,205|2299|4512,Kirsten Dunst|Josh Hartnett|James Woods,0,0.0,0.0,American Zoetrope,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shanghai Noon,8584,tt0184894,2000-05-26,5,4,55000000,100462833.91405344,110,Adventure,PG-13,1.0,1.0,0.0,0,0.0,244721064.0,244721064,244721064.0,131823138.55555557,357373543.3333333,106742655.16666667,46076.0,Tom Dey,21635.0,Jonathan Glickman,18897|887|140,Jackie Chan|Owen Wilson|Lucy Liu,1,0.0,0.0,Touchstone Pictures,2711,0.36806961527731663,51739283,51739283,4177405,2711,2,5956681,2711,2,5472948,2711,2,4040031,2711,2,1279882,2711,4,1151784,2711,3,1187603,2711,2,2527000,2745,3,3844000,2745,3,2595000,2745,3,879078,2745,5,976309,2745,5,751669,2745,5,821385,2745,5,1627000,2751,5,2585000,2751,5,1730000,2751,5,642672,2751,6,688250,2751,6,618105,2751,6,659840,2751,6,946000,2126,5,1559000,2126,5,1288000,2126,5,383454,2126,6,470004,2126,6,439990,2126,6,429256,2126,6
"Me, Myself & Irene",2123,tt0183505,2000-06-22,6,3,51000000,93156445.99303137,116,Comedy,PG-13,1.0,0.0,214066269.33333334,369900000,214066269.33333334,214066269.33333334,369900000,214066269.33333334,101716122.66666667,266380948.33333334,110827320.06666666,7396.0,Peter Farrelly,7396.0,Peter Farrelly,206|9137|18471,Jim Carrey|Renée Zellweger|Anthony Anderson,0,0.0,0.0,Conundrum Entertainment,3019,0.6103125443337178,86533592,86533592,7812000,3019,1,9170000,3019,1,7227000,3019,1,3374915,3019,1,3333565,3019,1,2506735,3019,2,2437097,3019,2,4010000,3087,3,4810000,3087,3,4510000,3087,3,3662686,3087,3,2438337,3087,3,1883593,3087,3,1836081,3087,3,2511000,2996,5,3400000,2996,5,2506000,2996,5,1063167,2996,5,1092713,2996,5,904651,2996,5,904565,2996,5,1721000,2850,6,2323000,2850,6,1659000,2850,6,715722,2850,6,814193,2850,6,711773,2850,6,638452,2850,6
