title,tmdb_id,imdb_id,release_date,release_month,release_day_of_week,original_language,origin_country,production_budget_raw,production_budget_adj,runtime,primary_genre,genres_list,mpaa_rating,format_premium,spoiler_risk,wiki_hype,dir_last3_avg_adj,dir_max_adj,dir_lifetime_trunc_avg_adj,dir_fallback_flag,prod_last3_avg_adj,prod_max_adj,prod_lifetime_trunc_avg_adj,prod_fallback_flag,cast_last3_avg_adj,cast_max_adj,cast_lifetime_trunc_avg_adj,cast_fallback_flag,director_id,director_name,producer_id,producer_name,cast_ids,cast_names,is_sequel,sequel_parent_rating,sequel_parent_revenue_adj,franchise_hunger,distributor,opening_theaters,calendar_ratio,bom_intl_lifetime,bom_ww_lifetime,target_dom_7day,bom_dom_lifetime,rev_day_1,theaters_day_1,rank_day_1,rev_day_2,theaters_day_2,rank_day_2,rev_day_3,theaters_day_3,rank_day_3,rev_day_4,theaters_day_4,rank_day_4,rev_day_5,theaters_day_5,rank_day_5,rev_day_6,theaters_day_6,rank_day_6,rev_day_7,theaters_day_7,rank_day_7,rev_day_8,theaters_day_8,rank_day_8,rev_day_9,theaters_day_9,rank_day_9,rev_day_10,theaters_day_10,rank_day_10,rev_day_11,theaters_day_11,rank_day_11,rev_day_12,theaters_day_12,rank_day_12,rev_day_13,theaters_day_13,rank_day_13,rev_day_14,theaters_day_14,rank_day_14,rev_day_15,theaters_day_15,rank_day_15,rev_day_16,theaters_day_16,rank_day_16,rev_day_17,theaters_day_17,rank_day_17,rev_day_18,theaters_day_18,rank_day_18,rev_day_19,theaters_day_19,rank_day_19,rev_day_20,theaters_day_20,rank_day_20,rev_day_21,theaters_day_21,rank_day_21,rev_day_22,theaters_day_22,rank_day_22,rev_day_23,theaters_day_23,rank_day_23,rev_day_24,theaters_day_24,rank_day_24,rev_day_25,theaters_day_25,rank_day_25,rev_day_26,theaters_day_26,rank_day_26,rev_day_27,theaters_day_27,rank_day_27,rev_day_28,theaters_day_28,rank_day_28
Monster Family,454699,tt6572702,8/24/2017,8,3,en,DE,0,0,93,Animation,Animation|Family|Fantasy|Comedy,PG,1,0,0,4736434.568,4736434.568,4736434.568,1,4736434.568,4736434.568,4736434.568,1,27281695.3,116490513.5,37742810.31,1,66942,Holger Tappe,66942,Holger Tappe,1639|11109|567269,Emily Watson|Nick Frost|Jessica Brown Findlay,0,0,0,0,Agir,0,0,29103436,29230695,0,127259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starship Troopers: Traitor of Mars,460790,tt6977240,8/21/2017,8,0,en,US,0,0,87,Animation,Animation|Action|Science Fiction,R,1,0,41155,14203846.8,24313154.98,14203846.8,1,9398390.614,15864007.34,9398390.614,1,27621994.67,75241726.69,38717541.58,0,70100,Shinji Aramaki,1070680,Joseph Chou,27763|2133|11827,Casper Van Dien|Dina Meyer|DeRay Davis,1,5.8,264982.1407,5,Sola Digital Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renegades,335788,tt4106376,8/21/2017,8,0,en,US,66190000,84942483.07,105,Thriller,Thriller|Action,PG-13,1,1,20350,45754338.99,63256417.83,45754338.99,1,53815879.16,191593063.7,53217087.52,1,150951547.6,342158385.6,165008648.9,1,93214,Steven Quale,59,Luc Besson,18999|38664|84221,J.K. Simmons|Sullivan Stapleton|Charlie Bewley,0,0,0,0,Studio Babelsberg,0,0,0,2602149,0,2602149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Made,337170,tt3532216,8/18/2017,8,4,en,US,50000000,64165646.67,115,Action,Action|Comedy|Crime|Drama,R,1,0,145970,50897973.03,300103498.2,102969979.2,1,0,0,0,0,225871294.7,569017236.5,138501627.9,1,11694,Doug Liman,71556,Ray Angelic,500|93210|131723,Tom Cruise|Domhnall Gleeson|Sarah Wright,0,0,0,0,Universal Pictures,3024,0.250153788,83524593,134866593,22371960,51342000,6168025,3024,1,6565045,3024,3,4043320,3024,3,1276595,3024,1,2011565,3024,1,1253065,3024,1,1054345,3024,1,2340990,3031,5,3464590,3031,5,2641135,3031,5,1324950,3031,7,1095485,3031,3,788425,3031,3,702330,3031,3,1598390,3098,6,2408435,3098,6,1494125,3098,6,516550,3098,4,660915,3098,5,490520,3098,4,442935,3098,5,926240,2559,10,1376120,2559,8,829290,2559,8,326375,2559,7,430075,2559,8,305020,2559,8,270345,2559,8
What Happened to Monday,406990,tt1536537,8/18/2017,8,4,en,US,20000000,25666258.67,123,Science Fiction,Science Fiction|Thriller|Mystery|Action,Unrated,1,1,26736,39187331.69,75197300.54,39187331.69,1,0,0,0,0,146804372.9,447372148.3,100271802.8,1,76927,Tommy Wirkola,342158,Fabrice Gianfermi,87722|515|5293,Noomi Rapace|Glenn Close|Willem Dafoe,0,0,0,0,SND,0,0,0,27975429,0,27975429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madame,446131,tt6045466,8/17/2017,8,3,en,FR,0,0,91,Romance,Romance|Comedy|Drama,Unrated,1,0,4024,0,0,0,0,5328861.958,39993336.32,12189110.93,1,34719610.4,118614614.5,40819769.11,1,1639986,Amanda Sthers,52349,Cyril Colbeau-Justin,3051|1037|25258,Toni Collette|Harvey Keitel|Rossy de Palma,0,0,0,0,StudioCanal,0,0,5290971,5381950,0,90979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hitman's Bodyguard,390043,tt1959563,8/16/2017,8,2,en,US,30000000,38499388,118,Action,Action|Comedy|Crime|Thriller,R,1,0,155431,0,0,0,0,20424239.88,20424239.88,20424239.88,1,94150839.03,566318706.9,122802326.2,1,143059,Patrick Hughes,58433,David Ellison,10859|2231|64,Ryan Reynolds|Samuel L. Jackson|Gary Oldman,0,0,0,0,Campbell Grobman Films,3377,1.413915636,107960106,183431147,29564004,75468583,8039302,3377,1,7902414,3377,1,5442788,3377,1,1953990,3377,1,2849926,3377,1,1727417,3377,1,1648167,3377,1,3171861,3377,1,3890629,3377,1,3200129,3377,1,1132289,3377,1,1672296,3377,1,1047510,3377,1,1015496,3377,1,2442033,3370,1,3990708,3370,1,4103269,3370,1,2736702,3370,1,921067,3370,1,635013,3370,1,524001,3370,1,1378757,3322,3,2231158,3322,3,1191830,3322,3,394404,3322,3,659900,3322,3,483008,3322,3,420976,3322,4
Naked,433251,tt6048930,8/11/2017,8,4,en,US,0,0,96,Comedy,Comedy,Unrated,1,0,42480,30799879.33,54054553.52,30799879.33,0,54150322.64,214585461.2,76268541.99,0,80657311.02,172076862.6,78148721.93,1,1110102,Michael Tiddes,11814,Todd Garner,9562|35705|352,Marlon Wayans|Regina Hall|Dennis Haysbert,0,0,0,0,Broken Road Productions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cage Dive,420707,tt4126568,8/11/2017,8,4,en,AU,0,0,80,Horror,Horror|Thriller,R,1,0,0,0,0,0,0,0,0,0,0,50181676.99,50181676.99,50181676.99,0,1692995,Gerald Rascionato,1756268,Antoine Mouawad,1692991|1692994|1692990,Joel Hogan|Josh Potthoff|Megan Peta Hill,1,5.2,10634648.89,11.1,Odin's Eye Entertainment,0,0,0,836413,0,836413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Evil,346671,tt2937366,8/8/2017,8,1,en,US,0,0,94,Horror,Horror|Comedy,Unrated,1,0,8278,0,0,0,0,0,0,0,0,121541137.7,143953520.4,70647049.77,1,52479,Eli Craig,1881112,Nicholas Nesbitt,36801|19034|1680487,Adam Scott|Evangeline Lilly|Owen Atlas,0,0,0,0,Bluegrass Films,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Bad Moms Christmas,431530,tt6359956,8/4/2017,8,4,en,US,28000000,35932762.14,104,Comedy,Comedy,R,1,0,35213,91551618.29,148433125.8,91551618.29,0,84547335.93,481964565.5,115174593.6,1,73377699.17,353805280.5,118487066.5,1,52115,Scott Moore,551,Suzanne Todd,18973|40462|17696,Mila Kunis|Kristen Bell|Kathryn Hahn,1,6.2,148433125.8,1,STXfilms,3615,1.115319095,58449769,130560428,24851318,72110659,2516556,3615,1,2009550,3615,1,5466012,3615,2,6940899,3615,2,4352250,3615,2,1338730,3615,2,2227321,3615,2,1607707,3615,2,1904601,3615,2,4095666,3587,4,4632239,3587,4,2741059,3587,4,866294,3587,5,1293603,3587,4,1027779,3587,4,1001889,3587,4,2317520,2948,7,2877891,2948,7,1804967,2948,7,828776,2948,7,1133248,2948,7,952939,2948,8,812546,2948,9,1833151,2306,8,2014694,2306,8,1047723,2306,9,328532,2306,10,518511,2306,7
The Dark Tower,353491,tt1648190,8/3/2017,8,3,en,US,60000000,76998776.01,95,Fantasy,Fantasy|Action|Science Fiction,PG-13,1,0,476079,20275226.48,20275226.48,20275226.48,1,31438644.53,478389183.1,150168081.9,1,196377307.6,330648810.5,128835244,1,74752,Nikolaj Arcel,6159,Ron Howard,17605|10297|1696753,Idris Elba|Matthew McConaughey|Tom Taylor,0,0,0,0,Columbia Pictures,3451,0.719244155,62529753,113231078,26430764,50701325,7724436,3451,1,6743278,3451,2,4685984,3451,2,2062759,3451,3,2439230,3451,3,1467005,3451,3,1308072,3451,3,2310883,3451,4,3316331,3451,3,2192940,3451,3,867024,3451,5,1284576,3451,5,801218,3451,5,680642,3451,6,1109627,3143,9,1638209,3143,9,1040833,3143,8,373009,3143,9,556643,3143,9,376013,3143,9,340863,3143,9,518621,2338,13,687080,2338,15,481770,2338,13,190498,2338,13,261258,2338,15,179143,2338,15,193949,2338,12
Annabelle: Creation,396422,tt5140878,8/3/2017,8,3,en,US,15000000,19249694,110,Horror,Horror,R,1,0,260769,88161414,88161414,88161414,1,238565148.3,468501384.3,138749538.2,1,113043571.3,119118259.9,113043571.3,1,1302082,David F. Sandberg,2127,James Wan,929937|1379123|1883866,Stephanie Sigman|Talitha Eliana Bateman|Lulu Wilson,1,5.5,112001557.3,2.8,Atomic Monster,3502,0.791644309,204500000,306592201,48544221,102092201,15012427,3502,1,11677885,3502,1,8316092,3502,1,3622473,3502,1,4526776,3502,1,2845011,3502,1,2543557,3502,1,5004688,3542,2,6358447,3542,2,4249545,3542,2,1627428,3542,2,2116279,3542,2,1372182,3542,2,1257594,3542,2,2533037,3565,2,2806837,3565,2,2341284,3565,2,868871,3565,2,1127190,3565,2,741352,3565,2,726643,3565,2,1843357,3358,2,2881431,3358,2,2781446,3358,2,1684182,3358,2,634048,3358,3,460775,3358,3,306173,3358,3
Wind River,395834,tt5362988,8/3/2017,8,3,en,US,11000000,14116442.27,107,Crime,Crime|Mystery|Thriller|Drama,R,1,0,0,0,0,0,0,0,0,0,0,228685004.7,633577728.5,222246890.5,1,1215399,Taylor Sheridan,935798,Matthew George,17604|550843|84225,Jeremy Renner|Elizabeth Olsen|Gil Birmingham,0,0,0,0,Savvy Media Holdings,4,0.586557007,10401823,44202682,228218,33800859,52212,4,25,63974,4,25,45372,4,26,18717,4,27,17092,4,28,16990,4,26,13861,4,26,190417,45,19,264693,45,20,167457,45,20,65607,45,20,75804,45,20,67253,45,21,53820,45,19,1004315,694,10,1195551,694,11,775866,694,11,268021,694,10,410065,694,12,338461,694,11,324665,694,10,1444151,2095,4,1790984,2095,5,1365841,2095,3,526279,2095,3,818707,2095,3,520456,2095,3,525806,2095,3
S.W.A.T.: Under Siege,461053,tt6014472,8/1/2017,8,1,en,US,0,0,89,Action,Action|Crime|Thriller,R,1,1,0,11274234.54,11274234.54,11274234.54,1,0,0,0,0,90309136.6,186505529.2,106501102.9,1,42712,Tony Giglio,72437,Greg Malcolm,88995|64856|42711,Adrianne Palicki|Michael Jai White|Ty Olsson,1,5.3,0,6.4,Original Film,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Call Me by Your Name,398818,tt5726616,7/28/2017,7,4,en,US,3500000,4491595.267,132,Romance,Romance|Drama,R,1,0,31015,9744413.949,11999921.65,9744413.949,1,7218793.953,7218793.953,7218793.953,0,123742144.2,257058868.6,98333171.92,1,78160,Luca Guadagnino,1110466,Marco Morabito,53807|1190668|72873,Armie Hammer|Timothée Chalamet|Michael Stuhlbarg,0,0,0,0,La Cinéfacture,332,0.157323389,50831907,68928176,791930,18095701,229888,114,22,251014,115,20,173713,174,21,137315,332,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atomic Blonde,341013,tt2406566,7/26/2017,7,2,en,US,30000000,38499388,115,Action,Action|Adventure|Thriller,R,1,1,357937,0,0,0,0,138799039.6,333015425.1,113691139,1,95404252.82,285553496.7,90500397.4,1,40684,David Leitch,6885,Charlize Theron,6885|5530|1665,Charlize Theron|James McAvoy|Eddie Marsan,0,0,0,0,Focus Features,3304,1.416058901,48326155,100014025,25880375,51687870,7108190,3304,3,6581920,3304,4,4596310,3304,4,1808905,3304,5,2555890,3304,4,1723300,3304,5,1505860,3304,5,2427770,3326,8,3376720,3326,7,2353065,3326,7,1145430,3326,6,1330175,3326,7,921795,3326,6,811895,3326,6,1293755,2093,10,1932455,2093,9,1254425,2093,9,530780,2093,10,753340,2093,10,530260,2093,9,436615,2093,9,657335,1628,13,927260,1628,13,594595,1628,13,231580,1628,13,333290,1628,14,247150,1628,14,200370,1628,14
The Emoji Movie,378236,tt4877122,7/23/2017,7,6,en,US,50000000,64165646.67,86,Animation,Animation|Family|Comedy,PG,1,0,228478,28530081.16,28530081.16,28530081.16,1,0,0,0,0,164086679.9,333310803.9,128117131.6,1,89112,Tony Leondis,1743063,Michelle Raimo Kouyate,51990|55466|1772,T.J. Miller|James Corden|Anna Faris,0,0,0,0,Columbia Pictures,4075,1.033157729,131687133,217776646,37101704,86089513,10025217,4075,1,8721250,4075,2,5785456,4075,2,2833289,4075,2,4156652,4075,2,2821634,4075,2,2758206,4075,2,3875348,4075,3,4808158,4075,3,3321903,4075,3,2231659,4075,2,2583145,4075,2,1631153,4075,2,1433877,4075,2,1935023,3219,6,2771038,3219,5,1744866,3219,5,875904,3219,4,1453272,3219,4,835931,3219,4,814371,3219,4,1358413,2791,6,1854783,2791,6,1227832,2791,6,444713,2791,7,841762,2791,6,522985,2791,6,413631,2791,7
Descendants 2,417320,tt5117876,7/21/2017,7,4,en,US,0,0,111,Family,Family|Fantasy|TV Movie|Adventure|Music,Unrated,1,0,270055,108009528.8,132301712.5,82587404.62,1,6486855.229,90813574.89,21785741.81,1,55768913.22,85305138.37,49301163.91,1,65310,Kenny Ortega,43901,Shawn Williamson,1098962|75041|1331457,Dove Cameron|Cameron Boyce|Sofia Carson,1,6.3,0,2,"Bad Angels Productions, Ltd.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Girls Trip,417870,tt3564472,7/21/2017,7,4,en,US,19000000,24382945.74,122,Comedy,Comedy|Romance|Adventure,R,1,0,134208,69758232.7,95205986.42,56205937.97,1,86785418.6,179313314,87637205.27,1,126674524.1,236030145.7,116244510.7,1,72024,Malcolm D. Lee,31121,Will Packer,35705|15758|9575,Regina Hall|Queen Latifah|Jada Pinkett Smith,0,0,0,0,Will Packer Productions,2591,0.342221729,25380774,140552359,45439220,115171585,11704040,2591,2,11158865,2591,2,8339015,2591,2,3464800,2591,2,4441010,2591,2,3157075,2591,2,3174415,2591,2,6223415,2648,4,7965380,2648,3,5457510,2648,3,2121145,2648,3,2845650,2648,3,2036690,2648,3,1936010,2648,3,3643460,2582,5,4672110,2582,4,3085925,2582,4,1327760,2582,5,1672045,2582,4,1162965,2582,4,1084220,2582,4,2064340,2303,5,2734360,2303,6,1667775,2303,7,707395,2303,7,966735,2303,7,683830,2303,7,644205,2303,7
Dunkirk,374720,tt5013056,7/19/2017,7,2,en,US,150000000,192496940,107,War,War|Action|Drama,PG-13,1,0,1181865,435321944.9,781583069.6,333496234.6,1,435321944.9,781583069.6,333496234.6,1,76483490.94,236638123.1,62442698.14,1,525,Christopher Nolan,525,Christopher Nolan,1687041|2524|40900,Fionn Whitehead|Tom Hardy|Mark Rylance,0,0,0,0,Warner Bros. Pictures,3720,1.320464006,359344080,549136737,74706220,189740665,19736259,3720,1,17543645,3720,1,13233584,3720,1,6444109,3720,1,7383712,3720,1,5171437,3720,1,5193474,3720,1,7898257,3748,2,11182034,3748,1,7530839,3748,1,3324258,3748,1,4472370,3748,1,3513238,3748,1,3328522,3748,1,4987001,4014,2,7210818,4014,1,4937427,4014,1,2718391,4014,1,2743180,4014,1,1953774,4014,1,1801222,4014,1,3120296,3762,2,4849708,3762,2,2914113,3762,2,1301272,3762,2,1832445,3762,2,1276297,3762,2,1206397,3762,2
Valerian and the City of a Thousand Planets,339964,tt2239822,7/19/2017,7,2,en,FR,177200000,227403051.8,137,Adventure,Adventure|Science Fiction|Action,PG-13,1,0,510160,43287593.32,191593063.7,51205997.22,1,43287593.32,191593063.7,51205997.22,1,60923381.84,278244483.5,71862779.46,1,59,Luc Besson,59,Luc Besson,122889|1289968|2296,Dane DeHaan|Cara Delevingne|Clive Owen,0,0,0,0,Belga Films,3553,1.328344026,184783852,225973340,23826147,41189488,6495217,3553,3,6006459,3553,5,4505948,3553,5,1820364,3553,6,2271692,3553,6,1398902,3553,6,1327565,3553,6,1853621,3553,8,2631088,3553,8,1875376,3553,8,836900,3553,8,1183776,3553,8,834733,3553,8,700242,3553,8,679928,1795,12,984411,1795,12,731038,1795,12,365102,1795,13,444207,1795,12,291336,1795,12,220089,1795,13,251274,785,18,395282,785,17,254767,785,17,109548,785,18,175443,785,17,102319,785,18,84101,785,17
Radius,436274,tt6097798,7/17/2017,7,0,en,CA,0,0,93,Thriller,Thriller|Drama|Horror,Unrated,1,1,0,0,0,0,0,0,0,0,0,66730069.61,97237889.16,69101084.17,1,1742666,Caroline Labrèche,1166608,Benoit Beaulieu,142193|1212960|1278643,Diego Klattenhoff|Charlotte Sullivan|Brett Donahue,0,0,0,0,Title Media,0,0,0,14097,0,14097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#realityhigh,455656,tt6119504,7/17/2017,7,0,en,US,0,0,99,Comedy,Comedy,Unrated,1,0,0,0,0,0,0,7583329.907,7583329.907,7583329.907,0,44579042.13,77617068.3,44579042.13,0,130372,Fernando Lebrija,1070054,Jane Fleming,1498026|1442955|1155085,Nesta Cooper|Keith Powers|Alicia Sanz,0,0,0,0,Court Five,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Assassin,415842,tt1961175,7/14/2017,7,4,en,US,33000000,42349326.81,112,Action,Action|Adventure|Thriller,R,1,0,96308,3108925.04,3256819.184,3108925.04,1,191237958.9,589651597.2,168619090,1,111858586,332800956.1,131276823,1,84931,Michael Cuesta,10952,Lorenzo di Bonaventura,527393|2232|60900,Dylan O'Brien|Michael Keaton|Taylor Kitsch,0,0,0,0,TIK Films,3154,0.256756769,30984514,67234188,19929459,36249674,5783488,3154,2,5475601,3154,2,3587689,3154,2,1284257,3154,2,1802102,3154,2,1086285,3154,2,910037,3154,2,1859959,3154,4,2725154,3154,4,1670504,3154,4,537574,3154,4,816695,3154,5,553025,3154,4,456211,3154,5,945334,3020,7,1485840,3020,6,884470,3020,6,272052,3020,6,417179,3020,7,285570,3020,9,222251,3020,8,369386,1656,11,575605,1656,11,443314,1656,11,227330,1656,11,175821,1656,11,134160,1656,11,95616,1656,11
War for the Planet of the Apes,281338,tt3450958,7/11/2017,7,1,en,US,150000000,192496940,140,Drama,Drama|Science Fiction|War,PG-13,1,2,753079,137191158,277126867.6,105728231.9,1,262169811.3,277126867.6,262169811.3,0,310481209.8,697841105.4,227195534.8,1,32278,Matt Reeves,67803,Amanda Silver,1333|57755|58395,Andy Serkis|Woody Harrelson|Karin Konoval,1,7.6,277126867.6,3,20th Century Fox,4022,2.594413441,343839601,490719763,77350914,146880162,22111621,4022,1,19293223,4022,1,14858085,4022,1,5787356,4022,1,7147241,4022,2,4411699,4022,2,3741689,4022,2,5967950,4100,5,8457752,4100,4,6458521,4100,4,2603761,4100,4,3321787,4100,4,2134803,4100,4,2017141,4100,4,3000096,3374,6,4292605,3374,6,3179551,3374,6,1301198,3374,6,1774635,3374,6,1285107,3374,6,1134434,3374,7,1729014,2704,9,2535392,2704,9,1904728,2704,8,924364,2704,9,1018870,2704,9,674575,2704,9,561295,2704,9
6 Days,347984,tt4703048,7/9/2017,7,6,en,US,1500000,1924969.4,95,Action,Action|Drama|History|Thriller,R,1,0,10590,0,0,0,0,0,0,0,0,46455666.27,210763431.3,55813177.42,1,73875,Toa Fraser,964698,Matthew Metcalfe,478|2983|37260,Jamie Bell|Mark Strong|Abbie Cornish,0,0,0,0,XYZ Films,0,0,0,316946,0,316946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wish Upon,440597,tt5322012,7/7/2017,7,4,en,US,12000000,15399755.2,91,Horror,Horror|Thriller|Fantasy,PG-13,1,0,89533,91205159.62,112001557.3,91205159.62,1,0,0,0,0,64707173.59,251259802.2,97678263.73,1,26714,John R. Leonetti,51986,Sherryl Clark,125025|1310760|1001946,Joey King|Ki Hong Lee|Sydney Park,0,0,0,0,Broad Green Pictures,2250,0.353549671,9167081,23468586,8044265,14301505,2291461,2250,6,1896157,2250,7,1279466,2250,7,684699,2250,7,829710,2250,7,584379,2250,7,478393,2250,8,794316,2154,10,976128,2154,10,704569,2154,10,388449,2154,10,464255,2154,10,354591,2154,10,252339,2154,11,311726,907,12,386155,907,13,252672,907,13,144560,907,13,177183,907,13,128937,907,13,79644,907,14,104752,345,19,127959,345,19,81774,345,21,41523,345,20,47604,345,20,32453,345,20,13473,345,27
Shot Caller,339692,tt4633690,7/7/2017,7,4,en,US,0,0,121,Crime,Crime|Drama|Thriller,R,1,0,43778,57954281.19,57954281.19,57954281.19,1,57954281.19,57954281.19,57954281.19,1,63015375.39,163855726.8,70466675.91,1,76422,Ric Roman Waugh,76422,Ric Roman Waugh,12795|41556|19498,Nikolaj Coster-Waldau|Omari Hardwick|Jon Bernthal,0,0,0,0,DirecTV,0,0,0,3440362,0,3440362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Homecoming,315635,tt2250912,7/5/2017,7,2,en,US,175000000,224579763.4,133,Action,Action|Adventure|Science Fiction,PG-13,1,0,1345281,0,0,0,0,446659121.2,853967757,430160180.6,1,254791604.7,662436357.5,207949601,1,1293994,Jon Watts,10850,Kevin Feige,1136406|2232|3223,Tom Holland|Michael Keaton|Robert Downey Jr.,0,0,0,0,Marvel Studios,4348,1.416324774,545983955,880978185,163070314,334952829,50780982,4348,1,37045244,4348,1,29201277,4348,1,12201383,4348,1,15053665,4348,1,9902669,4348,1,8885094,4348,1,13628237,4348,2,17587320,4348,2,12989653,4348,2,5455599,4348,2,7536245,4348,1,4967279,4348,1,4466934,4348,1,6367940,4130,4,8931625,4130,3,6850520,4130,3,3361636,4130,3,4130653,4130,3,2787501,4130,3,2775349,4130,3,3978954,3625,5,5475665,3625,5,3806753,3625,5,1823408,3625,4,2474800,3625,5,1860586,3625,4,1780805,3625,4
The Little Hours,411873,tt5666304,6/30/2017,6,4,en,CA,0,0,90,Comedy,Comedy,R,1,0,79429,0,0,0,0,0,0,0,0,69845077.23,303713976.6,104777887.4,1,17884,Jeff Baena,1331168,Elizabeth Destro,88029|54697|132354,Alison Brie|Dave Franco|Kate Micucci,0,0,0,0,Destro Films,0,0,0,1647175,0,1647175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
