title,tmdb_id,imdb_id,release_date,release_month,release_day_of_week,original_language,origin_country,production_budget_raw,production_budget_adj,runtime,primary_genre,genres_list,mpaa_rating,format_premium,spoiler_risk,wiki_hype,dir_last3_avg_adj,dir_max_adj,dir_lifetime_trunc_avg_adj,dir_fallback_flag,prod_last3_avg_adj,prod_max_adj,prod_lifetime_trunc_avg_adj,prod_fallback_flag,cast_last3_avg_adj,cast_max_adj,cast_lifetime_trunc_avg_adj,cast_fallback_flag,director_id,director_name,producer_id,producer_name,cast_ids,cast_names,is_sequel,sequel_parent_rating,sequel_parent_revenue_adj,franchise_hunger,distributor,opening_theaters,calendar_ratio,bom_intl_lifetime,bom_ww_lifetime,target_dom_7day,bom_dom_lifetime,rev_day_1,theaters_day_1,rank_day_1,rev_day_2,theaters_day_2,rank_day_2,rev_day_3,theaters_day_3,rank_day_3,rev_day_4,theaters_day_4,rank_day_4,rev_day_5,theaters_day_5,rank_day_5,rev_day_6,theaters_day_6,rank_day_6,rev_day_7,theaters_day_7,rank_day_7,rev_day_8,theaters_day_8,rank_day_8,rev_day_9,theaters_day_9,rank_day_9,rev_day_10,theaters_day_10,rank_day_10,rev_day_11,theaters_day_11,rank_day_11,rev_day_12,theaters_day_12,rank_day_12,rev_day_13,theaters_day_13,rank_day_13,rev_day_14,theaters_day_14,rank_day_14,rev_day_15,theaters_day_15,rank_day_15,rev_day_16,theaters_day_16,rank_day_16,rev_day_17,theaters_day_17,rank_day_17,rev_day_18,theaters_day_18,rank_day_18,rev_day_19,theaters_day_19,rank_day_19,rev_day_20,theaters_day_20,rank_day_20,rev_day_21,theaters_day_21,rank_day_21,rev_day_22,theaters_day_22,rank_day_22,rev_day_23,theaters_day_23,rank_day_23,rev_day_24,theaters_day_24,rank_day_24,rev_day_25,theaters_day_25,rank_day_25,rev_day_26,theaters_day_26,rank_day_26,rev_day_27,theaters_day_27,rank_day_27,rev_day_28,theaters_day_28,rank_day_28
Nightbitch,728949,tt12810074,12/6/2024,12,4,en,US,20000000,20000000,98,Comedy,Comedy|Horror,R,1,0,112233,29630456.62,75902985.76,29630456.62,1,29630456.62,75902985.76,29630456.62,1,51191831.75,288643042.8,96652020.39,1,177532,Marielle Heller,177532,Marielle Heller,9273|59233|5044872,Amy Adams|Scoot McNairy|Arleigh Snowden,0,0,0,0,Annapurna Pictures,0,0,0,170986,0,170986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Six Triple Eight,1061699,tt24458622,12/6/2024,12,4,en,US,0,0,130,Drama,Drama|War|History,PG-13,1,0,61891,48428716.29,107535460.7,60127218.82,1,0,0,0,0,62401936.82,109569170,48530366.65,1,80602,Tyler Perry,2603084,Nicole Avant,11703|8975|4038,Kerry Washington|Sam Waterston|Susan Sarandon,0,0,0,0,Tyler Perry Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The War of the Rohirrim,839033,tt14824600,12/5/2024,12,3,en,US,30000000,30000000,134,Animation,Animation|Fantasy|Adventure|Action,PG-13,1,2.5,351523,0,0,0,0,6640713.92,15864007.34,6640713.92,1,14050062.17,17051356.63,14050062.17,1,16137,Kenji Kamiyama,1070680,Joseph Chou,1248|1339199|220232,Brian Cox|Gaia Wise|Luke Pasqualino,0,0,0,0,New Line Cinema,2602,0.807643183,11600000,20758572,6100171,9158572,2013310,2602,5,1476921,2602,6,1061878,2602,8,398413,2602,7,512213,2602,6,355109,2602,7,282327,2602,5,360647,2602,9,463900,2602,9,411347,2602,9,298694,2602,10,185238,2602,10,129623,1378,14,185595,1378,12,149721,1135,30,164021,1135,12,136497,1135,12,93356,1135,12,76692,1135,13,114145,1135,12,66032,1135,12,40053,472,18,64475,472,17,39865,472,17,11482,472,18,17923,472,17,13944,472,19,8991,472,20
Carry-On,1005331,tt21382296,12/5/2024,12,3,en,US,47000000,47000000,120,Thriller,Thriller|Action,PG-13,1,0,147820,120669395.2,180698889.6,88173240.52,0,208114815.8,396904542.8,177077112.9,0,62623955.95,267826838.3,84096861.92,1,59521,Jaume Collet-Serra,935717,Dylan Clark,1303037|23532|1331457,Taron Egerton|Jason Bateman|Sofia Carson,0,0,0,0,Dylan Clark Productions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Order,1082195,tt26625693,12/5/2024,12,3,en,US,20000000,20000000,116,Crime,Crime|Drama|Thriller,R,1,0,104471,24864827.27,71620689.85,24864827.27,1,0,0,0,0,36798393.01,446082570.4,91464640.43,1,549310,Justin Kurzel,41375,Ben Jackson,9642|3292|1034681,Jude Law|Nicholas Hoult|Tye Sheridan,0,0,0,0,Riff Raff Entertainment,603,1.098566789,259453,2270354,1273384,2010901,450183,603,11,250042,603,13,177630,603,13,88965,603,10,142763,603,10,100150,603,9,63651,603,12,108533,603,12,146286,603,13,109769,603,15,50282,603,14,72436,603,14,56076,603,11,35175,603,13,18945,102,21,25144,102,17,20552,102,17,16210,102,17,13440,102,16,4261,102,30,2743,102,32,6798,28,58,6469,28,33,7525,28,30,3476,28,32,3118,28,31,5887,28,29,3391,28,31
Werewolves,970450,tt15041836,12/4/2024,12,2,en,US,0,0,93,Action,Action|Horror|Thriller,R,1,0,60281,12077640.9,22037373.88,12077640.9,1,17214105.74,17214105.74,17214105.74,1,10689903.54,27279558.48,10689903.54,1,30058,Steven C. Miller,1053661,Craig Chapman,81685|164930|1181354,Frank Grillo|Katrina Law|Ilfenesh Hadera,0,0,0,0,The Solution,1351,1.364035079,391897,2295802,1477361,1903905,410307,1351,13,383272,1351,11,259419,1351,12,107351,1351,9,157356,1351,9,102048,1351,8,57608,1351,13,81320,954,13,114141,954,15,77825,954,16,34409,954,16,47335,954,16,35008,954,14,17269,954,18,3725,25,28,6172,25,25,4980,25,27,2200,25,27,380,25,31,141,25,39,1639,25,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caddo Lake,863873,tt15552142,11/28/2024,11,3,en,US,0,0,103,Drama,Drama|Mystery|Science Fiction|Thriller,PG-13,1,0,257498,0,0,0,0,0,0,0,0,33134640.18,97436032.59,54121622.87,1,1685025,Logan George,1992615,Josh Godfrey,527393|1669125|1975518,Dylan O'Brien|Eliza Scanlen|Caroline Falk,0,0,0,0,Blinding Edge Pictures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Return,975511,tt19861162,11/28/2024,11,3,en,GR,20000000,20000000,116,History,History|Drama|Adventure,R,1,0,84096,58299389.39,90050787.38,58299389.39,1,0,0,0,0,17144107.64,74988097.31,30564686.13,1,57632,Uberto Pasolini,65456,James Clayton,5469|1137|1440574,Ralph Fiennes|Juliette Binoche|Charlie Plummer,0,0,0,0,Picomedia,629,0.783399451,2958913,3662892,571040,703979,130317,629,17,130861,629,17,100327,629,17,48113,629,14,73896,629,12,51166,629,12,36360,629,14,23554,261,24,34094,261,22,25113,261,23,11513,261,24,15856,261,23,12906,261,21,9900,261,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queer,1059128,tt24176060,11/27/2024,11,2,en,US,53400000,53400000,138,Drama,Drama|Romance,R,1,0,278245,20549946.25,50119408,16300789.68,1,20549946.25,50119408,16300789.68,1,74549275.49,562723608.4,162673640,1,78160,Luca Guadagnino,78160,Luca Guadagnino,8784|1939676|17881,Daniel Craig|Drew Starkey|Jason Schwartzman,0,0,0,0,Fremantle,7,0.603621032,3284050,7020863,362682,3736813,79473,7,14,27237,7,14,68789,7,14,68582,7,14,63580,7,14,29376,7,14,25645,7,14,25597,7,14,72334,7,10,162258,47,15,132442,47,16,124840,47,16,52545,47,12,54144,47,14,49547,47,13,96720,47,9,281980,460,10,267881,460,11,241093,460,11,128800,460,11,164682,460,11,141306,460,9,114082,460,9,115055,379,12,140367,379,11,134752,379,11,99641,379,11,56711,379,11
Maria,1038263,tt22893404,11/27/2024,11,2,en,US,0,0,124,History,History|Drama|Music,R,1,0,80155,9910719,18296259.7,9910719,1,14067474.09,21637852.82,11023767.4,1,48732920.59,134307795.9,58385720.75,1,225009,Pablo Larraín,1376798,Lorenzo Mieli,11701|17839|128748,Angelina Jolie|Pierfrancesco Favino|Alba Rohrwacher,0,0,0,0,Fremantle,0,0,0,25398522,0,25398522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
